#Charset:UTF-8
ぬぃ.wav=,167.6,53.5,209.0,42.9,10.3
ふぁ.wav=,134.8,94.1,373.8,59.2,6.2
ずぃぇ.wav=,103.9,84.5,276.7,46.0,9.2
しぇ.wav=,336.3,203.4,251.8,162.3,3.7
き.wav=,362.8,107.8,374.0,78.2,3.0
け゜.wav=,120.4,68.8,295.1,35.8,19.4
リャ.wav=,160.8,98.4,273.1,66.5,8.2
くぁ.wav=,371.9,156.8,451.9,59.0,40.7
ぐぁ.wav=,119.9,114.9,583.4,78.9,13.4
うゃ.wav=,180.7,70.5,405.1,38.5,24.7
ルェ.wav=,162.5,86.8,353.5,82.2,10.3
う息短.wav=,250.6,37.0,363.8,17.3,9.4
ヴぉ.wav=,220.8,57.6,209.8,43.5,10.6
せ.wav=,206.5,185.2,342.9,157.0,11.0
き゜ゃ.wav=,148.2,68.8,230.2,42.8,13.5
え息.wav=,319.4,36.4,605.9,21.3,14.2
ゆぉ.wav=,214.4,62.1,481.1,54.0,8.9
息吐短.wav=,52.9,50.7,36.8,37.6,8.1
つゅ.wav=,147.4,114.1,303.3,93.3,6.3
つょ.wav=,131.8,105.3,271.1,79.5,9.3
ちぇ.wav=,142.6,98.3,211.3,74.0,7.7
びぇ.wav=,120.6,60.3,474.9,48.8,9.0
い息短.wav=,381.6,44.2,525.8,18.1,12.2
す.wav=,251.8,232.9,310.7,206.6,12.0
ぐぃ.wav=,274.5,90.7,720.4,58.9,32.8
でゅ.wav=,203.3,36.1,230.8,22.8,8.2
くぃ.wav=,147.8,107.2,353.5,34.5,17.9
い息.wav=,349.8,55.9,912.6,36.8,26.8
く.wav=,339.7,173.1,441.5,69.4,3.1
ふぃ.wav=,216.9,107.2,322.9,88.4,7.8
で.wav=,297.0,34.6,318.6,18.4,4.6
ぬぁ.wav=,454.7,57.9,257.1,36.4,5.1
るぉ.wav=,193.0,48.3,433.5,28.3,7.2
ふぇ.wav=,291.0,144.0,455.5,110.5,9.5
ずぃぁ.wav=,202.0,57.7,256.2,36.1,4.9
ん↑.wav=,375.2,67.6,232.6,54.7,12.6
ぞ.wav=,118.3,69.1,136.3,45.6,15.2
づぃょ.wav=,303.0,71.1,260.5,49.3,10.2
か.wav=,448.9,88.4,336.8,59.1,6.4
くぇ.wav=,275.7,108.2,442.6,45.8,11.6
リュ.wav=,224.7,66.2,367.2,56.1,7.5
え2.wav=,342.4,81.8,353.3,34.6,19.4
ぐぇ.wav=,775.4,102.7,329.7,72.0,16.2
えっ.wav=,623.9,39.7,361.1,26.6,16.4
うn.wav=,324.7,58.2,401.6,32.0,21.6
うゅ.wav=,629.5,69.7,370.9,50.2,35.1
ルァ.wav=,161.7,97.8,356.5,78.0,10.7
お.wav=,627.6,42.3,300.0,23.9,12.8
そ.wav=,296.5,205.7,348.0,183.5,12.9
き゜ゅ.wav=,86.9,56.0,320.5,18.1,5.5
え息長.wav=,392.6,78.3,408.6,37.6,24.5
び.wav=,258.8,56.3,392.1,46.7,7.7
う吸.wav=,318.4,33.1,403.2,19.3,10.7
ん強.wav=,226.4,38.0,468.5,30.2,8.3
つゃ.wav=,174.2,116.2,268.2,90.2,8.4
あ息短.wav=,302.8,22.3,347.4,16.3,7.6
き゜ょ.wav=,147.4,62.1,355.7,26.6,16.6
た.wav=,320.9,28.1,343.9,14.7,7.1
げ.wav=,155.4,89.6,277.2,46.2,16.6
ぎぇ.wav=,470.3,95.9,278.6,47.8,13.9
え.wav=,188.4,45.2,213.5,14.7,3.1
すぉ.wav=,97.0,239.6,373.4,199.1,9.0
リェ.wav=,232.3,60.8,392.0,50.9,5.6
ルィ.wav=,281.5,55.9,297.1,40.7,8.1
うょ.wav=,354.8,98.4,291.8,46.9,37.9
お息長.wav=,612.8,46.7,477.0,32.2,17.9
い2.wav=,331.0,28.4,342.7,12.6,6.2
おn.wav=,148.1,59.6,410.6,33.8,18.7
いっ.wav=,282.6,44.3,513.6,13.4,21.9
リョ.wav=,239.4,69.8,406.4,56.1,7.0
づぃゅ.wav=,257.6,46.4,375.4,26.8,6.8
ぴ.wav=,163.9,61.0,274.0,35.6,6.6
ん↓.wav=,169.1,52.6,393.8,40.9,5.9
お吸.wav=,293.4,46.4,303.1,29.4,16.2
ぬぇ.wav=,248.3,65.5,298.9,56.2,8.4
てぃ.wav=,173.8,79.3,350.2,52.0,8.0
ぶぁ.wav=,405.5,78.3,292.3,46.0,6.3
ぶ.wav=,257.2,94.2,264.6,54.0,21.6
ぴょ.wav=,203.4,85.3,180.4,57.7,6.0
う↓.wav=,356.7,30.1,189.0,16.7,10.2
お強.wav=,225.3,38.2,634.7,18.8,8.7
も.wav=,110.6,72.6,387.8,35.9,10.6
へ.wav=,391.2,82.2,376.3,48.0,13.8
ふぃゅ.wav=,182.3,123.6,306.8,89.3,11.7
は.wav=,378.8,99.9,444.4,60.0,9.4
どぇ.wav=,279.9,39.0,299.5,17.7,6.9
ぐ.wav=,138.0,173.0,237.4,133.4,22.8
ぢゃ.wav=,192.4,55.2,335.1,32.4,9.5
きょ.wav=,215.4,85.2,500.4,29.5,17.0
あ息.wav=,107.3,17.8,240.4,11.0,5.3
の.wav=,323.0,38.9,394.9,28.4,9.0
お↑.wav=,273.2,55.8,747.8,31.9,21.2
りゅ.wav=,249.7,30.2,346.2,12.5,6.3
ひぇ.wav=,184.6,129.8,187.9,100.3,8.8
にぇ.wav=,187.0,44.1,400.8,32.4,8.4
りょ.wav=,220.3,31.4,453.2,19.3,10.0
ぷ.wav=,105.0,62.9,411.3,38.7,7.6
づぉ.wav=,221.0,67.9,336.1,47.6,8.1
ん吸.wav=,245.1,35.2,423.4,21.0,7.3
め.wav=,196.2,62.8,392.6,51.2,7.8
う強.wav=,385.5,23.5,354.4,15.0,10.1
お↓.wav=,427.0,94.7,444.7,53.4,31.9
ほ.wav=,333.5,82.9,381.9,48.9,8.0
ぬ.wav=,364.5,60.2,555.5,45.1,9.6
きゅ.wav=,242.8,104.8,254.2,68.6,-2.4
いぇ.wav=,231.5,44.4,477.7,19.9,8.4
どぅ.wav=,98.8,44.5,195.9,30.6,12.5
ね.wav=,241.2,46.8,428.2,35.2,9.5
ふぃょ.wav=,233.0,120.5,473.7,99.9,9.2
む.wav=,222.3,27.1,464.3,13.4,8.4
う↑.wav=,473.6,44.4,445.3,21.4,13.6
ぴゅ.wav=,207.5,104.4,369.4,74.8,6.2
むぉ.wav=,225.2,58.2,509.8,33.6,10.2
ぶぃ.wav=,987.2,87.9,316.2,53.1,17.6
つぉ.wav=,102.7,126.8,346.7,86.1,9.5
じぇ.wav=,137.3,82.6,297.6,52.4,12.6
ぶぇ.wav=,242.4,63.7,319.7,28.8,7.4
みぇ.wav=,228.1,47.2,305.5,37.6,5.5
や.wav=,179.0,47.5,316.3,19.4,5.4
え（あ）.wav=,460.6,38.8,305.1,15.5,11.7
ん.wav=,329.2,34.0,339.1,21.1,8.0
じ.wav=,144.4,102.6,274.2,75.8,8.9
